Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
Weibull,31,21,1e-05,520,2,100,238,154,0.647058823529412,14614,15909731,0.000918557328216297,91.8557328216297,276,2924,84,0.08625,0.766666666666667,0.155056179775281,0,1,0,3.77997828291169,0.513800438364773,0.115131313983988,-1.77079165901267,19.1540796248043,349.676792432285
BurrXII,41,27,1e-05,952,3,100,238,44,0.184873949579832,676,6177556,0.000109428388832088,10.9428388832088,88,183,194,0.324723247232472,0.312056737588652,0.318264014466546,0.589641630380417,0.410358369619583,0,2.59421007626872,3.0278003252415,0.116227195784002,-1.82441727370109,487.144546364985,851.693230250616
G0,41,27,1e-05,952,3,100,238,28,0.117647058823529,245,3147040,7.78509329401596e-05,7.78509329401596,53,65,210,0.449152542372881,0.201520912547529,0.278215223097113,0.780336184219924,0.219663815780076,0,7.54975466672404,11.0098388284554,0.116227195784002,-1.82441727370109,5570.7225677228,6159.6381164757
G0-L1,41,27,1e-05,952,2,100,238,10,0.0420168067226891,747,835766,0.000893790845763048,89.3790845763048,21,32,228,0.39622641509434,0.0843373493975904,0.139072847682119,0.940361046674244,0.0596389533257561,0,6.23417429688387,10.3207157163488,0.116227195784002,-1.82441727370109,98.3794317158794,469.309283425839
GenGamma,41,27,1e-05,952,3,100,238,102,0.428571428571429,81614,15445115,0.00528413028973886,528.413028973886,397,39396,136,0.0099766290553615,0.74484052532833,0.0196895303278282,0.027427144592098,0.972572855407902,0,0.298542900548738,0.407344717865749,0.116227195784002,-1.82441727370109,297.357992616938,1800.58763896919
GenGamma-exact,41,27,1e-05,952,3,100,238,96,0.403361344537815,27550,9526808,0.00289183953324135,289.183953324135,369,12833,142,0.0279503105590062,0.722113502935421,0.0538175453948808,0.385004003055739,0.614995996944261,0,0.656746589044111,0.943209990819761,0.116227195784002,-1.82441727370109,518.945942920067,1488.72794475126
Lognormal,41,27,1e-05,952,2,100,238,24,0.100840336134454,1327,15909731,8.34080727072004e-05,8.34080727072004,33,83,214,0.28448275862069,0.133603238866397,0.181818181818182,0,1,0,0.340918890778954,0.0393954970798788,0.116227195784002,-1.82441727370109,14.5934208851392,349.039260282838
Weibull,41,27,1e-05,952,2,100,238,158,0.663865546218487,14215,15909731,0.000893478337251585,89.3478337251585,333,2340,80,0.124579124579125,0.806295399515738,0.215813350615684,0,1,0,3.76208676137567,0.412109364641203,0.116227195784002,-1.82441727370109,18.2739094493684,353.034469114293
BurrXII,51,41,1e-05,920,3,100,238,57,0.239495798319328,795,6316085,0.000125869110374544,12.5869110374544,128,243,181,0.345013477088949,0.414239482200647,0.376470588235294,0.5804921876156,0.4195078123844,0,2.4238712266303,3.00268754103368,0.11847538208115,-1.80681414142978,497.278788036802,863.033631733363
G0,51,41,1e-05,920,3,100,238,36,0.151260504201681,373,3289322,0.000113397228973022,11.3397228973022,92,119,202,0.436018957345972,0.312925170068027,0.364356435643564,0.7707398301644,0.2292601698356,0,7.00507180383725,10.7628445939741,0.11847538208115,-1.80681414142978,5600.19559746209,6206.32593749089
G0-L1,51,41,1e-05,920,2,100,238,14,0.0588235294117647,155,865983,0.00017898734732668,17.898734732668,40,36,224,0.526315789473684,0.151515151515152,0.235294117647059,0.938528469346606,0.0614715306533943,0,12.8148456748649,14.0893990001422,0.11847538208115,-1.80681414142978,100.182193232551,472.715841069394
GenGamma,51,41,1e-05,920,3,100,238,130,0.546218487394958,80522,15455326,0.0052099839239884,520.99839239884,587,39264,108,0.0147298687611352,0.844604316546763,0.0289547674246535,0.026833025076867,0.973166974923133,0,0.306624772449018,0.418469863946943,0.11847538208115,-1.80681414142978,293.592900972804,1797.77793455239
GenGamma-exact,51,41,1e-05,920,3,100,238,119,0.5,27566,9676062,0.0028488862514523,284.88862514523,506,13257,119,0.0367652401365981,0.8096,0.0703363914373089,0.376023109654214,0.623976890345786,0,0.670526116333849,0.915668736249196,0.11847538208115,-1.80681414142978,519.009510254849,1498.63370718967
Lognormal,51,41,1e-05,920,2,100,238,30,0.126050420168067,1483,15909731,9.32133924828773e-05,9.32133924828773,52,135,208,0.27807486631016,0.2,0.232662192393736,0,1,0,0.344199865578343,0.0401316046843281,0.11847538208115,-1.80681414142978,14.6928146274805,349.693282395216
Weibull,51,41,1e-05,920,2,100,238,188,0.789915966386555,16191,15909731,0.00101767905441016,101.767905441016,528,2409,50,0.179775280898876,0.913494809688581,0.300426742532006,0,1,0,3.72623530571217,0.414647148028919,0.11847538208115,-1.80681414142978,18.4405267831536,353.798301619703
BurrXII,11,7,0.0001,72,3,100,238,8,0.0336134453781513,2806,8995978,0.000311917170095347,3.11917170095347,11,2007,230,0.00545094152626363,0.045643153526971,0.00973882248782647,0.432078410497611,0.567921589502389,0,2.29484274814481,2.65030389529477,0.102587886875272,-1.03964603115886,598.885375433452,955.806420840663
G0,11,7,0.0001,72,3,100,238,5,0.0210084033613445,371,3766197,9.85078581922294e-05,0.985078581922294,5,295,233,0.0166666666666667,0.0210084033613445,0.0185873605947955,0.752496783286232,0.247503216713767,0,21.059963204443,35.2373606197741,0.102587886875272,-1.03964603115886,5772.89377684872,6370.46687514282
G0-L1,11,7,0.0001,72,2,100,238,3,0.0126050420168067,250,676319,0.000369648050697969,3.69648050697969,5,196,235,0.0248756218905473,0.0208333333333333,0.0226757369614512,0.952657048776654,0.0473429512233459,0,6.21853431669662,10.2495985932583,0.102587886875272,-1.03964603115886,89.7025089220944,437.96114000365
GenGamma,11,7,0.0001,72,3,100,238,84,0.352941176470588,57279,14799701,0.00387028089283696,38.7028089283696,360,34872,154,0.0102179836512262,0.700389105058366,0.020142113802943,0.0684380152812081,0.931561984718792,0,1.27842162960013,2.40778897442824,0.102587886875272,-1.03964603115886,291.073967115161,1691.27567469745
GenGamma-exact,11,7,0.0001,72,3,100,238,72,0.302521008403361,34763,12030583,0.00288955240157522,28.8955240157522,245,21514,166,0.0112597086263155,0.596107055961071,0.0221019395579612,0.239757335492881,0.760242664507119,0,1.64505993429754,3.03427059932633,0.102587886875272,-1.03964603115886,597.100876796113,1724.7307850983
Lognormal,11,7,0.0001,72,2,100,238,3,0.0126050420168067,1068,15909731,6.71287276950189e-05,0.671287276950189,3,535,235,0.00557620817843866,0.0126050420168067,0.0077319587628866,0,1,0,0.320293436622185,0.115809088142882,0.102587886875272,-1.03964603115886,14.9415934469574,331.820782076981
Weibull,11,7,0.0001,72,2,100,238,78,0.327731092436975,42072,15909731,0.00264441931796333,26.4441931796333,255,18153,160,0.0138526727509778,0.614457831325301,0.0270945120331509,0,1,0,4.00429637378938,1.25408482826435,0.102587886875272,-1.03964603115886,20.4980116037072,336.972723773183
BurrXII,15,11,0.0001,104,3,100,238,21,0.0882352941176471,2941,8289071,0.000354804537203264,3.54804537203264,27,1811,217,0.014689880304679,0.110655737704918,0.0259365994236311,0.472199178203546,0.527800821796453,0,2.48452970702542,2.9513708729436,0.109695677926404,-1.19719277199153,572.690836200008,925.786259284423
G0,15,11,0.0001,104,3,100,238,14,0.0588235294117647,511,3490691,0.000146389353855727,1.46389353855727,19,337,224,0.0533707865168539,0.0781893004115226,0.0634390651085142,0.766787865479055,0.233212134520945,0,20.0259135626833,37.9160595933108,0.109695677926404,-1.19719277199153,5831.0826476574,6415.50204360822
G0-L1,15,11,0.0001,104,2,100,238,9,0.0378151260504202,367,720712,0.000509218661545805,5.09218661545805,11,231,229,0.0454545454545455,0.0458333333333333,0.045643153526971,0.949076754183404,0.0509232458165959,0,7.54991210815774,12.5638968629119,0.109695677926404,-1.19719277199153,88.7727154913938,435.987528238601
GenGamma,15,11,0.0001,104,3,100,238,93,0.390756302521008,69921,14881438,0.00469853786979457,46.9853786979457,419,39820,145,0.0104127836178831,0.74290780141844,0.0205377055608656,0.0625647268096873,0.937435273190313,0,0.981616433024173,1.94873450901129,0.109695677926404,-1.19719277199153,289.012378207851,1733.12645832343
GenGamma-exact,15,11,0.0001,104,3,100,238,89,0.373949579831933,38785,11378926,0.00340849391234287,34.0849391234287,296,22415,149,0.0130333318656158,0.665168539325843,0.0255657281050268,0.277491939163372,0.722508060836628,0,1.4582524583091,2.34258317435987,0.109695677926404,-1.19719277199153,577.405689589331,1660.31710664951
Lognormal,15,11,0.0001,104,2,100,238,9,0.0378151260504202,1143,15909731,7.18428237410174e-05,0.718428237410174,13,432,229,0.0292134831460674,0.0537190082644628,0.0378457059679767,0,1,0,0.331202922880404,0.0944818209032812,0.109695677926404,-1.19719277199153,15.584419806973,331.47309415321
Weibull,15,11,0.0001,104,2,100,238,104,0.436974789915966,40797,15909731,0.00256427968518135,25.6427968518135,271,14310,134,0.0185858308757973,0.669135802469136,0.0361670892833311,0,1,0,3.87240954174458,0.993792011118636,0.109695677926404,-1.19719277199153,17.9655262847126,334.106936305371
BurrXII,17,13,0.0001,120,3,100,238,26,0.109243697478992,2747,8042693,0.000341552263650994,3.41552263650994,31,1542,212,0.0197075651621106,0.127572016460905,0.0341409691629956,0.485958830985461,0.514041169014539,0,2.63009039273058,3.11138039557283,0.110914993410541,-1.28702635178527,570.366634817563,927.596057254771
G0,17,13,0.0001,120,3,100,238,15,0.0630252100840336,489,3414950,0.000143193897421631,1.43193897421631,19,293,223,0.0608974358974359,0.0785123966942149,0.0685920577617329,0.770286554804923,0.229713445195077,0,18.9559408548074,38.1239958598188,0.110914993410541,-1.28702635178527,5852.63839713634,6439.34889798522
