Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
K,141,101,1e-06,9680,2,60,189,0,0,0,869,0,0,0,0,189,0,0,0,0.999928151041667,7.18489583333333e-05,0,NaN,NaN,0.111144159290776,-1.04817420394579,8.7802421875,275.885302083333
Lognormal,141,101,1e-06,9680,2,60,189,38,0.201058201058201,665,37914812,1.75393194617449e-05,17.5393194617449,38,43,151,0.469135802469136,0.201058201058201,0.281481481481481,0,1,0,0.333380214647127,0.00641243676214631,0.111144159290776,-1.04817420394579,6.67722395833333,272.394385416667
Weibull,141,101,1e-06,9680,2,60,189,176,0.931216931216931,27235,37914812,0.000718320850437027,718.320850437027,176,5940,13,0.0287769784172662,0.931216931216931,0.0558287073750991,0,1,0,3.8471704398392,0.0713468633678336,0.111144159290776,-1.04817420394579,8.58178645833333,274.311989583333
BurrXII,151,109,1e-06,10920,3,60,189,75,0.396825396825397,1093,23520473,4.64701538952894e-05,46.4701538952894,75,250,114,0.230769230769231,0.396825396825397,0.291828793774319,0.37631734375,0.62368265625,0,3.97160729986746,3.68297300905567,0.111175097190195,-1.04516846959985,347.8101796875,644.496856770833
CA-CFAR,151,109,1e-06,10920,0,60,189,89,0.470899470899471,778,37914812,2.05196850244174e-05,20.5196850244174,89,173,100,0.33969465648855,0.470899470899471,0.394678492239468,0,1,0,NaN,NaN,0.111175097190195,-1.04516846959985,0,274.4203984375
G0,151,109,1e-06,10920,3,60,189,47,0.248677248677249,994,6928643,0.000143462435573604,143.462435573604,47,96,142,0.328671328671329,0.248677248677249,0.283132530120482,0.810588255208333,0.189411744791667,0,5.20336320670473,6.39279337964907,0.111175097190195,-1.04516846959985,3218.57566666667,3658.94297395833
G0-L1,151,109,1e-06,10920,2,60,189,0,0,0,1154,0,0,0,0,189,0,0,0,0.999934453125,6.5546875e-05,0,39.2636205438064,63.2903767782473,0.111175097190195,-1.04516846959985,23.8949348958333,295.151606770833
GenGamma,151,109,1e-06,10920,3,60,189,136,0.71957671957672,16149,37739689,0.00042790495703343,427.90495703343,136,9219,53,0.014537680384821,0.71957671957672,0.0284995808885163,0.00468005208333333,0.995319947916667,0,1.08309558260832,0.151919722978525,0.111175097190195,-1.04516846959985,167.306697916667,1152.38403385417
GenGamma-exact,151,109,1e-06,10920,3,60,189,136,0.71957671957672,19569,37151361,0.000526737095849598,526.737095849598,136,12236,53,0.0109925638538636,0.71957671957672,0.0216543268848022,0.0200646614583333,0.979935338541667,0,1.17886901604803,0.157006736403111,0.111175097190195,-1.04516846959985,458.185546875,1454.27301302083
K,151,109,1e-06,10920,2,60,189,0,0,0,1154,0,0,0,0,189,0,0,0,0.999934453125,6.5546875e-05,0,NaN,NaN,0.111175097190195,-1.04516846959985,9.090234375,279.463708333333
