Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP
K,41,27,0.0001,952,2,60,131,17,0.129770992366412,67,358576,0.000186850207487395,1.86850207487395,17,14,114,0.548387096774194,0.129770992366412,0.209876543209877,0.958739805579015,0.0412601944209848,0,NaN,NaN,0.119847166304702,-1.90016669644414,38.0313312901285,330.844330824421
Lognormal,41,27,0.0001,952,2,60,131,28,0.213740458015267,3385,9394273,0.000360325913458125,3.60325913458125,28,157,103,0.151351351351351,0.213740458015267,0.177215189873418,0,1,0,0.346188337368837,0.0410245405456887,0.119847166304702,-1.90016669644414,10.5641344429177,300.535787342761
Weibull,41,27,0.0001,952,2,60,131,110,0.83969465648855,15497,9394273,0.00164962206229263,16.4962206229263,110,3545,21,0.0300957592339261,0.83969465648855,0.0581088219756999,0,1,0,3.70479957808441,0.41006762203633,0.119847166304702,-1.90016669644414,13.9291810360386,303.586260285069
BurrXII,51,41,0.0001,920,3,60,131,55,0.419847328244275,787,3801048,0.00020704816145442,2.0704816145442,55,270,76,0.169230769230769,0.419847328244275,0.241228070175439,0.574245195075352,0.425754804924648,0,2.30033616903971,3.16748165084824,0.120487158112576,-1.87180061084232,376.04055785462,683.095481284371
CA-CFAR,51,41,0.0001,920,0,60,131,55,0.419847328244275,3350,9394273,0.000356600239316017,3.56600239316017,55,140,76,0.282051282051282,0.419847328244275,0.337423312883436,0,1,0,NaN,NaN,0.120487158112576,-1.87180061084232,0,292.275256573451
G0,51,41,0.0001,920,3,60,131,37,0.282442748091603,553,1860999,0.000297152228453642,2.97152228453642,37,117,94,0.24025974025974,0.282442748091603,0.259649122807018,0.780369180318625,0.219630819681375,0,8.84094989946898,16.3913258835964,0.120487158112576,-1.87180061084232,3966.61980464832,4482.66093878614
G0-L1,51,41,0.0001,920,2,60,131,9,0.0687022900763359,34,374490,9.07901412587786e-05,0.907901412587786,9,14,122,0.391304347826087,0.0687022900763359,0.116883116883117,0.957044541698751,0.0429554583012488,0,8.71324510713931,12.9152247111983,0.120487158112576,-1.87180061084232,60.6822256889367,373.574793913742
GenGamma,51,41,0.0001,920,3,60,131,102,0.778625954198473,63271,9200865,0.00687663605541435,68.7663605541435,102,30019,29,0.00338634175492182,0.778625954198473,0.00674335581118604,0.0180986341787877,0.981901365821212,0,0.274809204082609,0.385501471745759,0.120487158112576,-1.87180061084232,207.736695581728,1571.51992821633
GenGamma-exact,51,41,0.0001,920,3,60,131,94,0.717557251908397,22229,5621300,0.00395442335402843,39.5442335402843,94,9770,37,0.00952960259529603,0.717557251908397,0.0188094047023512,0.385502164418718,0.614497835581282,0,0.764850569215269,0.955843301341821,0.120487158112576,-1.87180061084232,375.820509211741,1246.66431368364
K,51,41,0.0001,920,2,60,131,15,0.114503816793893,134,374490,0.00035781996849048,3.5781996849048,15,25,116,0.375,0.114503816793893,0.175438596491228,0.957044541698751,0.0429554583012488,0,NaN,NaN,0.120487158112576,-1.87180061084232,39.004656971586,325.785698169698
Lognormal,51,41,0.0001,920,2,60,131,36,0.274809160305344,4625,9394273,0.000492321225921367,4.92321225921367,36,159,95,0.184615384615385,0.274809160305344,0.220858895705521,0,1,0,0.347109737888849,0.0409093051082585,0.120487158112576,-1.87180061084232,9.82118681260154,293.039601578184
Weibull,51,41,0.0001,920,2,60,131,118,0.900763358778626,17559,9394273,0.00186911749317909,18.6911749317909,118,3660,13,0.0312334568554791,0.900763358778626,0.0603734970580711,0,1,0,3.69500147147882,0.421434928645709,0.120487158112576,-1.87180061084232,12.7620827290942,296.093444841012
BurrXII,61,49,0.0001,1320,3,60,131,54,0.412213740458015,782,3783507,0.000206686547692392,2.06686547692392,54,288,77,0.157894736842105,0.412213740458015,0.228329809725159,0.575211203672696,0.424788796327304,0,2.14565997569136,2.59848719961944,0.120859912683503,-1.87387082722363,386.428759485918,716.924355756471
CA-CFAR,61,49,0.0001,1320,0,60,131,56,0.427480916030534,3620,9394273,0.000385341154126562,3.85341154126562,56,146,75,0.277227722772277,0.427480916030534,0.336336336336336,0,1,0,NaN,NaN,0.120859912683503,-1.87387082722363,0,317.030208786155
G0,61,49,0.0001,1320,3,60,131,44,0.33587786259542,523,1898377,0.000275498491606251,2.75498491606251,44,114,87,0.278481012658228,0.33587786259542,0.304498269896194,0.775708525348718,0.224291474651282,0,7.83782044332114,13.3272240424506,0.120859912683503,-1.87387082722363,4203.84218619793,4752.8117263021
G0-L1,61,49,0.0001,1320,2,60,131,9,0.0687022900763359,26,383144,6.78596036999144e-05,0.678596036999144,9,8,122,0.529411764705882,0.0687022900763359,0.121621621621622,0.95629983720312,0.0437001627968797,0,9.41912835064132,12.5954591902057,0.120859912683503,-1.87387082722363,59.7191878068461,394.592195898008
GenGamma,61,49,0.0001,1320,3,60,131,106,0.809160305343511,66925,9225542,0.00725431633176674,72.5431633176674,106,30835,25,0.00342587505251931,0.809160305343511,0.00682286302780638,0.0154921421698848,0.984507857830115,0,0.272717863047107,0.352214670528147,0.120859912683503,-1.87387082722363,220.835820765106,1640.67610710088
GenGamma-exact,61,49,0.0001,1320,3,60,131,93,0.709923664122137,21657,5562883,0.0038931252014468,38.931252014468,93,8975,38,0.0102558447287164,0.709923664122137,0.0202195890857702,0.391242801744903,0.608757198255097,0,0.673522857614223,0.913800242204891,0.120859912683503,-1.87387082722363,392.579812882717,1292.40343277547
K,61,49,0.0001,1320,2,60,131,14,0.106870229007634,86,383144,0.000224458689161255,2.24458689161255,14,16,117,0.466666666666667,0.106870229007634,0.173913043478261,0.95629983720312,0.0437001627968797,0,NaN,NaN,0.120859912683503,-1.87387082722363,38.9403296194274,348.069061196179
Lognormal,61,49,0.0001,1320,2,60,131,49,0.374045801526718,4780,9394273,0.000508820639979272,5.08820639979272,49,165,82,0.228971962616822,0.374045801526718,0.284057971014493,0,1,0,0.347645253147904,0.0373849795842907,0.120859912683503,-1.87387082722363,11.0889890484347,317.558558538879
Weibull,61,49,0.0001,1320,2,60,131,118,0.900763358778626,18340,9394273,0.00195225325046441,19.5225325046441,118,3508,13,0.0325427468284611,0.900763358778626,0.0628160766569071,0,1,0,3.6893309274944,0.362011498071689,0.120859912683503,-1.87387082722363,13.8945312284641,320.274433549502
BurrXII,71,57,0.0001,1792,3,60,131,62,0.473282442748092,762,3791086,0.000200997814346601,2.00997814346601,62,259,69,0.193146417445483,0.473282442748092,0.274336283185841,0.573958553259213,0.426041446740787,0,2.27206218644891,1.6275789996248,0.121185042204771,-1.85872244689562,388.878774459919,751.826677314383
CA-CFAR,71,57,0.0001,1792,0,60,131,57,0.435114503816794,3712,9394273,0.000395134354728674,3.95134354728674,57,153,74,0.271428571428571,0.435114503816794,0.334310850439883,0,1,0,NaN,NaN,0.121185042204771,-1.85872244689562,0,347.88001118031
