Detector,Sli,Guard,Pfa,N,NMoments,Images,ShipsTotal,ShipsDetected,Pd_pooled,FalsePixels,BackgroundPixels,Pfa_pooled,PfaRatio,TP,FP,FN,Precision_pooled,Recall_pooled,F1_pooled,FractionInvalid,CoverageFraction,MaxLogMismatchPct,MedianShape,IQRShape,MedianC2,MedianSkew,EstMsPerMP,TotalMsPerMP,Pfa_CI_Lo,Pfa_CI_Hi,Ratio_CI_Lo,Ratio_CI_Hi,CI_Width
G0-L1,17,13,1e-06,120,2,60,131,4,0.0305343511450382,11,338662,3.24807625301923e-05,32.4807625301923,4,9,127,0.307692307692308,0.0305343511450382,0.0555555555555556,0.961357233405277,0.0386427665947232,0,8.07431230250783,12.2644858092096,0.113412183259562,-1.32908202518665,58.9479981388341,378.312840432279,1.62143875645067e-05,5.81163113246314e-05,16.2143875645067,58.1163113246314,4.19019237601247e-05
GenGamma,17,13,1e-06,120,3,60,131,58,0.442748091603053,21798,8868708,0.0024578551915341,2457.8551915341,58,13641,73,0.0042338856850865,0.442748091603053,0.00838756326825741,0.0541617299654711,0.945838270034529,0,0.83182635756271,2.05626145813226,0.113412183259562,-1.32908202518665,215.292246837698,1502.26519866323,0.00242537302430841,0.00249066284986666,2425.37302430841,2490.66284986666,6.52898255582551e-05
GenGamma-exact,17,13,1e-06,120,3,60,131,54,0.412213740458015,10099,6592308,0.00153193691799594,1531.93691799594,54,6434,77,0.00832305795314427,0.412213740458015,0.0163166641486629,0.290870928238581,0.709129071761419,0,1.30426129309281,2.2953893642294,0.113412183259562,-1.32908202518665,429.85211470449,1395.14717534373,0.00150222519955101,0.00156208780791031,1502.22519955101,1562.08780791031,5.98626083593015e-05
K,17,13,1e-06,120,2,60,131,7,0.0534351145038168,16,338662,4.72447454984616e-05,47.2447454984616,7,11,124,0.388888888888889,0.0534351145038168,0.0939597315436242,0.961357233405277,0.0386427665947232,0,NaN,NaN,0.113412183259562,-1.32908202518665,39.8465609571877,332.351020130488,2.7004687580499e-05,7.67213759957931e-05,27.004687580499,76.7213759957932,4.97166884152941e-05
Lognormal,17,13,1e-06,120,2,60,131,3,0.0229007633587786,138,9394273,1.46898009031673e-05,14.6898009031673,3,29,128,0.09375,0.0229007633587786,0.0368098159509202,0,1,0,0.336761620808461,0.089647659757417,0.113412183259562,-1.32908202518665,11.1382019693698,299.892503418951,1.23412468110316e-05,1.73552029578139e-05,12.3412468110316,17.3552029578139,5.01395614678232e-06
Weibull,17,13,1e-06,120,2,60,131,44,0.33587786259542,9288,9394273,0.000988687469482737,988.687469482737,44,2488,87,0.0173775671406003,0.33587786259542,0.0330454374765302,0,1,0,3.80860721437862,0.952896383419736,0.113412183259562,-1.32908202518665,13.4698916473159,302.431010111066,0.000968691179915408,0.00100899232168401,968.691179915408,1008.99232168401,4.03011417686034e-05
BurrXII,21,15,1e-06,216,3,60,131,11,0.083969465648855,207,4257840,4.86161997632602e-05,48.6161997632602,11,113,120,0.0887096774193548,0.083969465648855,0.0862745098039216,0.535041484492409,0.464958515507591,0,2.63736250025282,3.42245971143126,0.116847898667876,-1.64140194953972,400.913887374498,719.075348404283,4.22186711272688e-05,5.57092503153013e-05,42.2186711272688,55.7092503153013,1.34905791880326e-05
CA-CFAR,21,15,1e-06,216,0,60,131,12,0.0916030534351145,227,9394273,2.41636580073839e-05,24.1636580073839,12,43,119,0.218181818181818,0.0916030534351145,0.129032258064516,0,1,0,NaN,NaN,0.116847898667876,-1.64140194953972,0,302.758856999485,2.1122306319139e-05,2.75199420665029e-05,21.122306319139,27.5199420665029,6.39763574736386e-06
G0,21,15,1e-06,216,3,60,131,6,0.0458015267175573,47,1809256,2.59775288848013e-05,25.9775288848013,6,19,125,0.24,0.0458015267175573,0.0769230769230769,0.791157804953127,0.208842195046873,0,14.0295863228012,29.418530243011,0.116847898667876,-1.64140194953972,4228.07091071157,4765.22339971929,1.90873716073698e-05,3.45444583944032e-05,19.0873716073698,34.5444583944032,1.54570867870334e-05
G0-L1,21,15,1e-06,216,2,60,131,9,0.0687022900763359,7,338431,2.06836844142528e-05,20.6836844142528,9,6,122,0.6,0.0687022900763359,0.123287671232877,0.961196205082068,0.0388037949179323,0,10.3175322661196,12.6266353626828,0.116847898667876,-1.64140194953972,52.9852666022353,372.505195650747,8.31595302311919e-06,4.26158277428423e-05,8.31595302311919,42.6158277428423,3.42998747197231e-05
GenGamma,21,15,1e-06,216,3,60,131,60,0.458015267175573,27225,8992204,0.0030276225939714,3027.6225939714,60,16124,71,0.0037073652990608,0.458015267175573,0.00735519460619062,0.0408759170055819,0.959124082994418,0,0.463827020493733,1.33863082231755,0.116847898667876,-1.64140194953972,219.263951124527,1534.39124989897,0.00299181772917752,0.00306374803514914,2991.81772917752,3063.74803514914,7.19303059716274e-05
GenGamma-exact,21,15,1e-06,216,3,60,131,57,0.435114503816794,11637,6213140,0.001872966004307,1872.966004307,57,7264,74,0.0077858216090698,0.435114503816794,0.0152979066022544,0.328426784754944,0.671573215245056,0,1.08732730114929,1.84650549567952,0.116847898667876,-1.64140194953972,407.800773280515,1325.58951222828,0.00183912007292553,0.00190727748295247,1839.12007292553,1907.27748295247,6.81574100269455e-05
K,21,15,1e-06,216,2,60,131,9,0.0687022900763359,7,338431,2.06836844142528e-05,20.6836844142528,9,6,122,0.6,0.0687022900763359,0.123287671232877,0.961196205082068,0.0388037949179323,0,NaN,NaN,0.116847898667876,-1.64140194953972,35.4203523045971,330.339822968714,8.31595302311919e-06,4.26158277428423e-05,8.31595302311919,42.6158277428423,3.42998747197231e-05
Lognormal,21,15,1e-06,216,2,60,131,6,0.0458015267175573,156,9394273,1.66058618905369e-05,16.6058618905369,6,25,125,0.193548387096774,0.0458015267175573,0.0740740740740741,0,1,0,0.341829171937382,0.0700239924595283,0.116847898667876,-1.64140194953972,10.5376399788252,302.831641359616,1.41022814716577e-05,1.94257749180653e-05,14.1022814716577,19.4257749180653,5.32349344640767e-06
Weibull,21,15,1e-06,216,2,60,131,51,0.389312977099237,8787,9394273,0.000935357105334282,935.357105334282,51,1744,80,0.0284122562674095,0.389312977099237,0.0529595015576324,0,1,0,3.75204281325767,0.724475950141346,0.116847898667876,-1.64140194953972,13.3722563744568,305.554371435743,0.000915909850805842,0.000955112985906514,915.909850805842,955.112985906514,3.92031351006725e-05
